Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes
2058,"Barry ""Barefoot"" Beefus",Go Ahead On Baby,Loma,"7"", Promo",,,,1966,5750868,,2022-09-16 14:18:23
2058,"Barry ""Barefoot"" Beefus","""Barefoot"" Beefus / Go Ahead On Baby",Loma,"7"", Single",,1966,9281667,,2022-09-16 14:18:42
PR 7556,,,Prestige,"LP, Album",,1968,3012854,,2022-09-16 14:22:36
PR 7556,Marvin Gaye,What's Going on,Prestige,"LP, Album",,1968,3012854,,2022-09-16 14:22:36
PR 7556,Billy Hawks,Heavy Soul!,Prestige,"LP, Album",,1988,,,2022-09-16 14:22:36
PR 7556,Billy Hawks,Heavy Soul!,Prestige,"LP, Album, RE",1988,4954297,,2022-09-16 14:22:36
"PR 7501, PRLP-7501",Billy Hawks,The New Genius Of The Blues,"Prestige, Prestige","LP, Album, RE",,0,1675769,,2022-09-16 14:20:09
14001,Ricky Dee (6),I'm Gonna Make Her Mine,"""Big Sound"" Records","7"", Single",,1966,10303298,,2021-03-24 06:47:24
1814X,The Haunted (2),1 - 2 - 5 ,Quality,"7"", Single, Mono, M/Print",,1966,6443040,,2020-07-29 06:13:34
LPG-3040,Julio Gutierrez And Los Guajiros,Julio Gutierrez And Los Guajiros,Gema Records,"LP, Album",,1967,12924655,,2021-07-29 08:52:49
1784,Leo Soto Con Alex Y Su Conjunto,Amercame A Tu Vida / Caballo Psicodelico,Falcon Records,"7"", Single",,0,9845847,,2021-02-19 03:09:09
ASL.625,Manu Dibango Et Son African Soul Quintet,Twist A Leo / Hallelouia,ASL,"Shellac, 10""",,1962,9480993,,2021-06-13 15:27:50
UA 994,The Crystals Featuring La La Brooks,Are You Trying To Get Rid Of Me Baby,United Artists Records,"7""",,1966,4468145,,2019-06-24 08:09:44
SS 101,The Latin Blues Band featuring Luis Aviles,Take A Trip Pussycat,Speed Records (4),"LP, Album",,1968,3863244,,2021-08-05 03:48:55
4X-0222,Frank Minion With Howard Biggs Orchestra,How Much Land (Does A Man Need) / Please Send Her Back To Me,Vik,"7"", Single",,1956,4237998,£130,2013-09-03 02:53:09
